PERFIL,PROFUNDIDAD_cm,COD_LAB,ARENA_porc,LIMO_porc,ARCILLA_porc,TEXTURA_clase,GRAVILLA_porc,RELACION,pH,Al_meq,SAI_porc,CaCO3,CO_porc,N_total,CIC,Ca,Mg,K,Na,BT,SB_porc,RETENCION_P_porc,INDICE_MELANICO,Fe_ACTIVO_porc,Al_ACTIVO_porc,Mn_ppm,Fe_ppm,Zn_ppm,Cu_ppm,B_ppm,S_ppm,P_DISPONIBLE_ppm,GRAVA_porc,ARENA_perc_2,LIMO_perc_2,ARCILLA_perc_2,TEXTURA_clase_2,pF_0,pF_33,pF_100,pF_500,pF_1500,HUMEDAD_perc,DENS_real_gcm3,DENS_ap_gcm3,MACROPORO_perc,MICROPORO_perc,POROSIDAD_TOT_perc
QS-3,0-20,4-05416,45.1,45.4,9.5,F*,2.5,(1:1),5.1,9.2,71.2,,5.3,,44.9,2.6,0.18,0.87,0.08,3.7,8.3,,,,,0.34,115,0.56,0.86,0.17,2.6,10.9,,34.12,54.72,11.16,FL,159.86,120.36,106.15,77.43,55.69,64.67,2.12,0.54,18.42,56.11,74.53
QS-3,20-41,4-05417,66.2,28.8,5,FA*,5.6,(1:1),5.2,5.3,55.7,,2.4,,23.2,3.7,0.17,0.24,0.1,4.2,18.1,,,,,0.28,72.6,0.44,1,0.04,3.2,3.9,,67.81,21.95,10.24,FA,77.27,53.93,46.58,27.71,27.24,26.69,2.52,0.92,19.18,44.31,63.49
QS-3,41-60,4-05418,57.1,37.8,5.1,FA*,4.9,(1:1),5.3,4.6,54.2,,3.7,,28.9,3.2,0.29,0.31,0.08,3.9,13.4,,,,,0.24,93.7,0.68,1.1,0.06,2.7,4.6,,68.82,27.39,3.79,FA,103.71,76.49,68.59,45.63,30.14,46.35,2.31,0.76,17.61,49.49,67.1
QS-3,60-95,4-05419,76.8,18.2,5,AF*,4.3,(1:1),5.3,3.2,45.1,,1.9,,20.6,3.1,0.46,0.27,0.07,3.9,18.9,,,,,0.66,96.3,0.64,1.2,0.08,2.3,1.8,,78.03,18.15,3.82,AF,80.07,54.95,42.67,26.49,20.25,34.7,2.4,0.81,20.78,45.47,66.25
QS-3,95-135,4-05420,74.4,20.6,5,FA*,3.5,(1:1),5.3,2.9,41.3,,2.2,,18.2,3.1,0.64,0.3,0.08,4.1,22.6,,,,,0.7,119,0.46,1.1,0.12,2,2.2,,74.05,20.93,5.02,FA,86.51,65.88,53.62,45.17,29.91,35.97,,,14.51,46.33,60.83
QS-4,0-30,4-05421,82.7,13.5,3.8,AF, ,(1:1),6.5,,,,0.11,,4.6,6.1,0.49,0.08,0.11,6.8,SAT,,,,,5.4,27,1.2,1.7,0.07,5.7,30,,87.27,11.44,1.29,A ,41.53,8.79,8.57,3.88,2.44,6.35,,,,,
QS-4,80-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QS-4,80-120,4-05422,96.8,1.4,1.8,A , ,(1:1),6.9,,,,0.01,,2,5,0.49,0.06,0.06,5.6,SAT,,,,,2.8,21.8,0.94,0.9,0.07,4.2,10,,96.29,2.76,0.95,A,17.28,1.41,1.2,1.06,0.9,0.51,,,,,
QS-5,0-5,4-05572,29.9,60.5,9.6,FL,,(1:1),5.5,0.28,3.7,,1.6,,13.8,5.6,1.3,0.2,0.1,7.2,52.2,,,,,13.4,162,5.2,10.8,0.33,10.1,39.7,,39.88,54.16,5.96,FL,68.75,38.53,32.55,16.11,11.53,26.99,2.65,1.12,25.38,32.35,57.74
QS-5,5-25,4-05573,27.7,60.4,11.9,FL,,(1:1),6,,,,1,,6.6,4.9,0.62,0.09,0.11,5.7,86.7,,,,,7.1,92.8,2.9,10.8,0.28,11.9,33.2,,30.82,63.39,5.79,FL,57.4,34.19,25.04,11.82,9.17,25.02,2.77,1.26,22.04,32.47,54.51
QS-5,25-46,4-05574,50.2,46,3.8,FA ,,(1:1),5.6,,,,0.26,,4.5,4.3,0.66,0.07,0.07,5.1,SAT,,,,,14.4,87,3.7,7.6,0.14,11.8,33.9,,55.51,43.64,0.85,FA,51.59,18.61,12.94,7.07,5.06,13.55,2.75,1.23,35.33,19.94,55.27
QS-5,46-65,4-05575,76.7,19.5,3.8,AF,,(1:1),6.2,,,,0.08,,8.1,8,1.2,0.07,0.12,9.4,SAT,,,,,5.9,38.9,1.2,2,0.14,3.9,37.1,,76.9,22.67,0.43,AF,41.11,7.69,5.9,4.55,3.11,4.58,2.79,1.41,40.21,9.25,49.46
QS-5,65-105,4-05576,23.7,70.4,5.9,FL,,(1:1),6.5,,,,0.38,,12,7.7,0.92,0.11,0.15,8.9,74,,,,,6.3,64.9,2.2,6.2,0.07,18.6,28.1,,28.59,68.11,3.3,FL,55.23,19.44,15.61,8.37,7.15,12.28,,,,,
QS-5,105-120,4-05577,13.6,68.4,18,FL,,(1:1),4.9,0.56,6.7,,1.7,,17.5,6.3,1.2,0.12,0.16,7.8,44.5,,,,,28.1,197,9.3,17.3,0.17,22.8,38.5,,14.97,72.76,12.27,FL,61.1,42.75,37.8,22.11,17.63,25.12,,,,,
QS-6,0-25,4-05578,21.8,56.2,22,FL,,(1:1),4.9,0.43,8,,1.7,,19,3.2,1.4,0.24,0.13,5,26.2,2.5,,,,6.4,329,5.4,10.1,0.52,9.1,63.6,,25.69,60.43,13.88,FL,52.23,36.21,31.54,20.55,16.5,19.71,2.78,1.3,16.33,36.91,53.24
QS-6,25-100,4-05579,23.8,54.2,22,FL,,(1:1),5.5,0.11,2.3,,0.69,,12.8,3.3,1.2,0.04,0.12,4.7,36.4,20.22,,,,3.6,107,1.4,7.5,0.34,4.5,43.3,,25.36,61.05,13.59,FL,50.09,32.77,27.71,18.33,11.91,20.86,2.67,0.98,21.89,41.41,63.3
QS-6,100-125,4-05580,66.7,28.1,5.2,FA,,(1:1),5.8,,,,0.1,,3.5,4.9,0.91,0.06,0.18,6.1,SAT,,,,,1.1,16.7,0.7,1.8,0.13,2.1,67.6,,,,,,37.47,10.84,7.77,4.14,3.17,7.67,,,,,
QS-7,0-17,4-05588,31.2,26.1,42.7,Ar,,(1:1),5.7,,,,1.2,,8.6,5.5,2.1,0.43,0.05,8.1,94,58.67,,,,8.7,37.2,0.88,1.6,0.28,1.6,2.1,,29.72,32.34,37.94,FAr,67.07,38.73,34.41,30.73,25.48,13.25,2.52,1.13,23.31,31.85,55.16
QS-7,17-57,4-05589,6.7,42.3,51,ArL,,(1:1),5.8,,,,0.28,,14.1,7.6,1.3,0.16,0.1,9.2,65,31.62,,,,3.9,7.2,0.41,0.76,0.13,2.6,1.8,,9.01,53.77,37.22,FArL,71.37,43.43,39.16,33.53,29.79,13.64,2.6,1.13,22.13,34.4,56.54
QS-7,57-79,4-05590,53.4,22.1,24.5,FArA,,(1:1),5.8,,,,0.63,,24.3,4.1,0.59,0.08,0.1,4.9,20,72.52,,,,2.5,18.7,0.8,0.58,0.16,2.3,0.61,,40.32,29.64,30.04,FAr,64.33,45.64,42.41,36.01,32.16,13.48,2.68,1.19,16.15,39.44,55.6
QS-7,79-110,4-05591,42.6,20.3,37.1,FA,,(1:1),5.9,,,,0.77,,25.2,6.3,1,0.16,0.21,7.7,30.4, ,,,,1.6,34.1,0.93,0.48,0.26,1.8,0.22,,10.17,69.21,20.62,FL,52.66,41.63,38.43,34.01,29.73,11.9,2.55,1.13,11.66,44.02,55.69
QS-7,110-125,4-05592,47,20.2,32.8,FArA,,(1:1),6.1,,,,0.21,,17.5,7.4,1.2,0.09,0.2,8.9,50.8,,,,,0.97,15.6,0.52,0.06,0.08,9,1.1,,57.43,29,13.57,FA,60.04,48.78,39.56,31.32,29.56,19.21,,,,,
QS-8,0-10,4-08816,,,,,,(1:2),4.9,1.4,17,,10.3,,42.4,5.3,0.9,0.49,0.13,6.8,16.1,93.69,1.858,0.46,1.73,3,41.2,6.4,2.7,0.87,7.9,9.4,0,41.79,40.85,17.36,F,184.16,95.13,81.41,58.64,57.69,37.44,2.41,0.58,36.71,39.22,75.93
QS-8,10-30,4-08817,58.9,32.8,8.3,FA*,,(1:1),5.2,0.65,32.7,,4.2,,26.7,1,0.1,0.14,0.1,1.3,5,92.37,1.848,0.57,1.76,,,,,,,7.3,0,45.49,40.08,14.43,F,108.85,67.37,60.21,47.47,46.86,20.51,2.41,0.8,25.46,41.35,66.8
QS-8,30-60,4-08818,59.7,32,8.3,FA*,,(1:1),5.2,0.53,41.4,,3.7,,23.8,0.42,0.09,0.11,0.13,0.75,3.2,51.04,,0.58,1.26,,,,,,,5.9,0,46.69,44.05,9.26,F,112.94,67.93,59.55,45.6,44.88,23.05,2.54,0.79,27.46,41.44,68.9
QS-8,60-100,4-08819,73.7,19.9,6.4,FA*,,(1:1),5.4,0.23,28.4,,3,,28.2,0.31,0.13,0.05,0.09,0.58,2.1,,,,,,,,,,,3.3,0,58.78,36.14,5.08,FA,159.92,95.85,85.26,70.08,69.23,26.62,2.41,0.57,30.59,45.76,76.35
QS-8,100-120,4-08820,70.5,22.9,6.6,FA*,,(1:1),5.6,,,,2.5,,28.9,0.4,0.09,0.08,0.09,0.66,2.3,,,,,,,,,,,ND, ,,,,,167.3,104.41,98.41,84.58,81.01,23.4,,,,,
QS-9,0-10,4-08821,69.1,22.8,8.1,FA*,,(1:1),5.3,0.37,5.4,,5,,21,5.2,0.61,0.38,0.31,6.5,31,,,,,3.3,61.5,0.78,0.96,0.32,3.9,10.7,0,61.39,17.36,21.25,FArA,86.85,43.9,39.38,28.83,28.4,15.5,2.4,0.74,34.21,34.96,69.17
QS-9,10-35,4-08822,59.2,28.7,12.1,FA,,(1:1),5.8,,,,2.1,,13.3,2,0.25,0.06,0.09,2.4,18,,,,,,,,,,,5.2,0,63.14,27.77,9.09,FA,164.55,33.72,28.24,19.24,11.52,22.2,2.5,1.05,15.37,42.63,58
QS-9,35-80,4-08823,59.3,28.6,12.1,FA,,(1:1),6,,,,1.6,,12.2,2.2,0.08,0.08,0.09,2.5,20.1,,,0.45,1.54,,,,,,,10.3,0,64.06,28.5,7.44,FA,62.2,34.74,27.82,17.52,14.51,20.23,2.59,1,27.1,34.29,61.39
QS-9,80-130,4-08824,75.6,18.4,6,FA,,(1:1),5.9,,,,0.73,,12.2,1.6,0.09,0.09,0.19,2,16.1,,,,,,,,,,,19,0,77.09,20.03,2.88,AF,56.86,29.72,23.53,18.15,17.05,12.67,1.84,1.04,20.75,22.73,43.38
QS-10,0-15,4-08825,66.6,25.2,8.2,FA*,,(1:2),4.9,2.1,58.5,,6.2,,29.3,0.9,0.16,0.34,0.09,1.5,5.1,,,0.48,1.48,1,17.8,1.1,0.28,0.26,1.8,2.7,0,64.71,23.04,12.25,FA,127.73,71.93,58.03,40.3,39.96,31.97,2.54,0.7,31.65,40.79,72.44
QS-10,15-35,4-08826,60.6,20.8,18.6,FA*,,(1:1),5.1,1.2,52.6,,4,,24,0.45,0.09,0.44,0.1,1.1,4.5,,,0.48,1.38,,,,,,,3.1,0,68.49,24.6,6.91,FA,100.81,59.28,48.13,29.77,28.78,30.5,2.65,0.79,28.92,41.27,70.19
QS-10,35-70,4-08827,66.8,20.9,12.3,FA,,(1:1),5.5,0.11,21.6,,0.66,,14.2,0.17,0.03,0.11,0.09,0.4,2.8,,,,,,,,,,,1.5,0,77.03,19.99,2.98,AF,73.71,36.7,31.01,23.65,21.21,15.49,2.66,1.01,31.15,30.88,62.03
QS-10,70-100,4-08828,79.7,10.2,10.1,FA,,(1:1),5.5,0.09,11,,0.1,,4.8,0.57,0.01,0.1,0.05,0.73,15.2,,,,,,,,,,,168,0,79.59,14.25,6.16,AF,49.77,19.63,14.47,9.93,8.23,11.4,2.6,1.17,33.31,21.69,55
QS-10,100-120,4-08829,82,8.1,9.9,AF,,(1:1),5.7,,,,0.07,,4.8,0.25,0.01,0.04,0.07,0.37,7.7,,,,,,,,,,,104,,,,,,56.08,28.03,16.89,10.34,9.97,18.06,,,,,
QS-11,0-26,4-08900,61.7,26.9,11.4,FA*,19.1,(1:1),6.2,,,,7.6,,33.6,21.5,4.7,0.08,0.18,26.5,78.8,,,0.51,1.59,0.56,15.8,0.04,0.34,1,2.3,15.1,0,54.79,30.14,15.07,FA,104.81,43.05,35.95,28.65,15.63,27.42,2.4,0.95,35.6,24.82,60.42
QS-11,26-59,4-08901,54.5,28.4,17.1,FA,,(1:1),6.2,,,,1,,10.6,5.7,0.84,0.62,0.13,7.3,68.8,,,,,,,,,,,16,42.34,58.25,27.22,14.53,FA,57.86,21.22,17.38,14.37,10.46,10.46,,,,,
QS-11,59-107,4-08902,54.2,28.7,17.1,FA,28.6,(1:1),6.2,,,,1.2,,12.4,6.7,1.2,0.67,0.22,8.8,70.9,,,,,,,,,,,18.4,75.56,55.65,30.31,14.04,FA,55.37,29.61,24.91,21.98,10.89,18.72,,,,,
QS-11,107-120,4-08903,54.5,27.9,17.6,FA,19,(1:1),6.2,,,,0.71,,11.5,4.8,1.2,0.72,0.18,6.9,60,,,,,,,,,,,17.5,35.06,57.08,29.3,13.62,FA,52.88,28.9,25.68,20.37,11.65,17.25,,,,,
QS-12,0-30,4-08896,48.6,36.4,15,F,40.6,(1:1),4.4,1.8,53.6,,2.2,,10.8,0.77,0.27,0.4,0.12,1.6,14.4,,,,,0.3,13.7,0.06,0.28,0.14,15.3,5.6,40.6,51.05,40.46,8.49,F,59.18,21.09,17.85,12.18,8.39,12.7,,,,,
QS-12,30-65,4-08897,46.7,38.3,15,F,21.8,(1:1),4.8,1.2,39.2,,2.2,,10.5,1.3,0.27,0.15,0.14,1.9,17.7,,,,,,,,,,,7.6,21.8,47.52,42.93,9.57,F,54.54,25.83,20.02,12.47,7.35,18.48,,,,,
QS-12,65-90,4-08898,48.5,36.4,15.1,F,35.2,(1:1),4.6,1.2,28.9,,2.4,,13,2.1,0.42,0.18,0.25,3,22.7,,,,,,,,,,,8.7,35.2,49.37,40.74,9.89,F,63.53,26.61,19.23,14.13,11.66,14.95,,,,,
QS-12,90-120,4-08899,47,36.1,16.9,F,46.4,(1:1),5.5,0.09,3.8,,1.2,,3.5,1.3,0.66,0.18,0.12,2.3,64.6,,,,,,,,,,,15.2,46.41,48.34,39.47,12.19,F,34.67,19.4,13.99,12.78,5.46,13.94,,,,,
QS-13,0-20,4-08892,87.5,8.1,4.4,A,7,(1:1),5.2,0.45,43.3,,0.19,,3.4,0.29,0.17,0.06,0.07,0.59,17.4,,,,,0.22,17.3,0.08,0.6,0.08,4.7,50.3,7,91.57,4.77,3.66,A,37.42,9.56,60.8,4.42,2.92,6.64,,,,,
QS-13,20-30,4-08893,91.6,3.6,4.8,A,7.5,(1:1),5.4,0.35,26.1,,0.1,,3.5,0.56,0.21,0.07,0.15,0.99,28.3,,,,,,,,,,,45.5,7.5,95.69,2.59,1.72,A,78.23,11.33,6.96,4.17,2.31,9.02,,,,,
QS-13,30-55,4-08894,85.5,9.7,4.8,AF,72.1,(1:1),5.8,,,,0.09,,3.6,1.8,0.21,0.06,0.11,2.2,60.6,,,,,,,,,,,49.7,72.1,88.33,8.77,2.9,A,28.08,10.81,6.44,4.74,3.17,7.64,,,,,
QS-13,55-80,4-08895,83.5,9.7,6.8,AF,11,(1:1),5.8,,,,0.17,,3.1,0.73,0.12,0.08,0.16,1.1,35.2,,,,,,,,,,,55.9,11,86.49,10.82,2.69,A,56.42,14.24,6.52,3.93,2.37,11.87,,,,,
QS-14,0-20,4-05581,58.2,33.9,7.9,FA,,(1:1),5.4,0.11,1.7,,1.7,,12.7,4.9,1.1,0.09,0.09,6.2,48.7,35.68,,,,5.4,265,5.1,6,0.35,6.8,80.1,,65.83,27.95,6.22,FA,60.13,38.01,26.67,16.08,11.45,26.56,2.68,1.16,20.86,35.85,56.72
QS-14,20-35,4-05582,88.7,7.5,3.8,A,,(1:1),5.9,,,,0.18,,4.6,4.4,0.74,0.08,0.08,5.3,SAT,19.09,,,,2.7,21.6,0.74,2.2,0.16,3.6,41.7,,92.38,6.82,0.8,A,34.22,8.96,8.68,4.42,4,4.96,2.74,1.35,37.45,13.28,50.73
QS-14,35-50,4-05583,51.9,36.1,12,F,,(1:1),5.7,,,,1.1,,13.3,5.3,1.9,0.11,0.09,7.4,55.6,31.62,,,,5.2,145,2.9,9.5,0.3,6.5,50.8,,58.62,34,7.38,FA,59.65,36.4,28.7,17.1,12.33,24.07,2.62,1.23,20.68,32.37,53.05
QS-14,50-65,4-05584,76.6,19.6,3.8,AF,,(1:1),6.1,,,,0.29,,4.9,4.4,1.2,0.19,0.13,5.9,SAT,16.43,,,,5.9,31.8,0.75,2.7,0.2,6.1,37.6,,81.78,16.96,1.26,AF,42.21,17.88,12.45,8.04,5.8,12.08,2.71,1.5,25.74,18.91,44.65
QS-14,65-85,4-05585,66.5,25.6,7.9,FA,,(1:1),6.2,,,,0.32,,7.1,5.5,1.7,0.27,0.06,7.5,SAT,,,,,5.8,42.7,0.89,3.4,0.26,10.6,38.8,,57.97,39.16,2.87,FA,44.46,27.39,20.75,10.95,8.71,18.68,2.69,1.35,19.13,30.69,49.81
QS-14,85-110,4-05586,64.5,29.6,5.9,FA,,(1:1),6,,,,0.55,,7.6,5.3,1.6,0.42,0.08,7.4,97.4,,,,,3.5,50.4,1.5,4.1,0.33,22.5,53.8,,72.37,23.92,3.71,FA,47.12,31.21,18.48,11.08,9.87,21.34,2.64,1.21,18.29,35.88,54.17
QS-14,110-135,4-05587,68.5,25.6,5.9,FA,,(1:1),5.4,0.22,4.5,,1.3,,9.4,3,1.2,0.41,0.08,4.7,49.9,,,,,12.1,139,4.8,3.8,0.32,4.2,71.6,,75.49,20.79,3.72,AF,62.33,33.77,20.37,13.85,10.34,23.43,,,,,
QS-15,0-30,4-05601,54.6,22.5,22.9,FArA,,(1:1),5.4,0.09,1,,1.4,,18,5.3,2.3,0.85,0.06,8.5,47.3,51.46,,,,4.3,80.6,7.8,3,0.19,16.1,67.2,,61.59,19.34,19.07,FA,56.62,32.19,22.73,20.32,16.64,15.55,2.48,1.27,21.05,27.74,48.79
QS-15,30-47,4-05602,53.9,19.2,26.9,FArA,,(1:1),6,,,,1.1,,18.4,5.7,1.3,1.6,0.08,8.7,47.2,53.54,,,,3,88.5,2.8,0.88,0.23,7.1,45.3,,58.25,29.05,12.7,FA,48.32,32.64,23.73,21.94,19.19,13.45,2.48,1.29,15.57,32.41,47.98
QS-15,47-103,4-05603,50.7,20.7,28.6,FArA,,(1:1),6,,,,0.54,,20.5,7,1.4,1.5,0.1,10,48.8,68.45,,,,1.4,55.5,1.5,0.76,0.14,2.7,22.9,,57.57,21.17,21.26,FArA,43.92,31.67,21.8,20.17,18.2,13.47,2.51,1.43,12,31.03,43.03
QS-15,103-130,4-05604,56.1,23.1,20.8,FArA,,(1:1),5.8,,,,0.57,,28.2,5.5,1.3,1,0.15,8,28.2,,,,,0.9,41.5,0.8,0.25,0.16,6.6,18.8,,62.59,26.48,10.93,FA,85.16,57.75,53.51,43.18,40.09,17.66,,,,,
QS-16,0-43,4-05597,48.3,25,26.7,FArA,,(1:1),5.8,,,,2.7,,28.8,4.5,2.6,0.26,0.12,7.5,26,82.69,,,,2.2,32,1.2,4.9,0.18,7.7,4.7,,55.47,22.77,21.76,FArA,76.14,42.88,31.56,29.14,24.09,18.79,2.36,0.91,26.84,34.6,61.44
QS-16,43-78,4-05598,54.8,22.7,22.5,FArA,,(1:1),5.7,,,,2.2,,25.2,5.3,0.93,0.09,0.13,6.5,25.6,76.61,,,,2.4,31.1,0.78,0.58,0.32,10.5,2.2,,59.08,31.1,9.82,FA,73.04,37.58,29.84,25.85,19.79,17.79,2.5,1.14,26.41,27.99,54.4
QS-16,78-115,4-05599,61.2,19.9,18.9,FA,,(1:1),5.7,,,,2,,21.1,5.3,0.51,0.08,0.16,6.1,28.7,,,,,1.2,24.9,0.72,0.37,0.24,6.8,1.7,,67.83,23,9.17,FA,66.57,38.44,25.34,21.88,15.86,22.58,2.53,1.26,21.21,28.99,50.2
QS-16,115-135,4-05600,59.2,21.9,18.9,FA,,(1:1),5.7,,,,1.9,,18.1,4.6,0.34,0.08,0.18,5.2,28.7,,,,,1.1,51.8,0.74,0.49,0.18,17.4,3.1,,62.56,24.82,12.62,FA,69.9,41.47,27.8,23.47,18.22,23.25,,,,,
QS-17,0-15,4-05593,27.3,41.7,31,FAr,,(1:1),5.7,,,,3.8,,32.8,7.2,1.2,0.58,0.2,9.2,28,72.2,,0.58,1.16,14.1,122,3.5,1.8,0.12,20.2,49.5,,26.36,48.73,24.91,F,85.29,60.19,54.74,43.93,41.21,18.98,2.15,0.97,16.15,38.73,54.88
QS-17,15-95,4-05594,44.5,31,24.5,F,,(1:1),5.4,0.85,26.4,,2.1,,25.6,1.4,0.46,0.37,0.14,2.4,9.3,79.93,,0.54,1.18,2.8,42.7,0.53,0.7,0.15,8.4,46.3,,49.53,44.86,5.61,FA,71.36,49.04,32.4,30.71,25.74,23.3,2.4,0.9,19.55,42.95,62.5
QS-17,95-115,4-05595,50.9,24.7,24.4,FArA,,(1:1),5.3,1.7,34.3,,1.8,,23.5,2,0.47,0.61,0.17,3.3,13.8,,,,,5.3,91.9,1,1.1,0.3,2.1,73.3,,55.84,27.42,16.74,FA,64.04,39.78,30.2,28.71,22.33,17.45,,,,,
QS-17,115-128,4-05596,57.3,20.4,22.3,FArA,,(1:1),5.2,1.9,34.8,,1.6,,19.3,2.6,0.54,0.23,0.19,3.6,18.4,,,,,5,91.1,0.88,1.2,0.38,2.1,55.5,,62.61,22.7,14.69,FA,62.47,36.08,27.05,25.14,19.79,16.29,,,,, 
QS-18,0-23,4-05370,67,30,3,FA*,5.8,(1:1),5.6,,,,8.3,,38,4.9,1,0.23,0.15,6.3,16.5,95.31,1.699,0.6,1.85,0.9,111,1.1,1.5,0.06,4.2,ND,,50.74,34.27,14.99,F,118.49,95.13,76.44,68.21,47.61,47.52,2.18,0.69,13.47,54.87,68.35
QS-18,23-50,4-05371,71.2,23.6,5.2,FA*,5.4,(1:1),6,,,,3.3,,28.6,3.1,0.43,0.1,0.19,3.8,13.4,97.38,1.717,0.74,1.99,0.02,37.2,0.04,0.42,ND,8.7,ND, ,57.04,27.46,15.5,FA,116.48,81.84,71.92,61.87,52.99,28.85,2.36,0.66,21.42,50.61,72.03
QS-18,50-85,4-05372,69.5,27.3,3.2,FA*,5.1,(1:1),6,,,,2.5,,39.9,3.3,0.63,0.17,0.22,4.3,10.8,98.32,,1.09,1.77,0.09,15.6,0.04,0.24,ND,10,ND,,78.03,12.56,9.41,FA,149.87,117.01,110.92,101.03,80.34,36.67,2.31,0.67,15.57,55.43,71
QS-18,85-120,4-05373,67.6,27,5.4,FA*,4,(1:1),6.1,,,,1.4,,34.8,2.9,0.8,0.17,0.18,4.1,11.6,,,,,0.04,13.5,0.06,0.24,ND,4.2,ND,,36.38,43.16,20.46,F,133.44,103.21,97.81,84.44,69.73,33.48,2.16,0.61,16.26,55.5,71.76
QS-19,0-23,4-05374,59,33.8,7.2,FA*,3.3,(1:1),5.2,0.57,23.9,,4.3,,28.6,1.3,0.12,0.17,0.22,1.8,6.3,95.54,,0.77,1.83,0.12,60.5,0.04,0.86,0.06,5.3,17.8,0,47.66,38.76,13.58,F,117.76,75.18,66.46,50.57,36.85,38.33,2.31,0.74,24.58,43.39,67.97
QS-19,23-40,4-05375,69.7,27.3,3,FA*,3.9,(1:1),5.6,,,,2.6,,23.6,2.5,0.06,0.12,0.19,2.9,12.2,95.45,,0.67,1.82,0.04,32.8,0.02,0.46,0.04,11.9,14,0,72.03,26.3,1.67,AF,102.72,63.64,59.3,48.18,35.65,27.99,2.33,0.81,24.82,40.42,65.24
QS-19,40-72,4-05376,72.3,24.8,2.9,FA*,2.8,(1:1),5.8,,,,0.95,,14.4,2.5,0.03,0.09,0.16,2.8,19.3,88.12,,0.97,1.82,0.04,16.9,0.04,0.34,0.02,1.4,13.3,0,72.93,25.91,1.16,AF,78.88,50.11,42.86,34.25,23.45,26.66,2.51,0.89,23.54,41,64.54
